delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
250.99,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,00:00.0,00:00.0,no,delivered,5,1317.61
250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,00:00.0,00:00.0,no,delivered,3,1290.71
250.99,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,00:00.0,00:00.0,no,delivered,4,157.38
250.99,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,00:00.0,00:00.0,no,delivered,4,970.6
250.99,fedex,cosmetics,truck,standard,south,hot,180,35.04,00:00.0,00:00.0,no,delivered,3,1005.12
250.99,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,00:00.0,00:00.0,no,delivered,4,984.38
250.99,xpressbees,documents,ev van,express,west,hot,78.3,49.22,00:00.0,00:00.0,yes,failed,1,589.16
250.99,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,00:00.0,00:00.0,no,delivered,4,378.35
250.99,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,00:00.0,00:00.0,no,delivered,5,324.08
250.99,blue dart,clothing,truck,express,north,hot,216.7,26.89,00:00.0,00:00.0,yes,delayed,2,1214.17
250.99,dhl,electronics,van,standard,south,foggy,148.2,38.6,00:00.0,00:00.0,no,delivered,4,856.8
250.99,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,00:00.0,00:00.0,no,delivered,4,1161.37
250.99,fedex,groceries,truck,same day,east,stormy,167.7,42.4,00:00.0,00:00.0,no,delivered,5,1065.7
250.99,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,00:00.0,00:00.0,no,delivered,5,1066.02
250.99,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,00:00.0,00:00.0,no,delivered,5,1200.32
250.99,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,00:00.0,00:00.0,no,delivered,5,484.65
250.99,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,00:00.0,00:00.0,no,delivered,4,1045.11
250.99,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,00:00.0,00:00.0,no,delivered,5,437.93
250.99,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,00:00.0,00:00.0,no,delivered,5,289.36
250.99,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,00:00.0,00:00.0,no,delivered,3,1370.53
250.99,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,00:00.0,00:00.0,yes,delayed,2,1315.6
250.99,ecom express,pharmacy,bike,express,east,hot,226,37.62,00:00.0,00:00.0,yes,delayed,2,1292.86
250.99,dhl,clothing,bike,two day,west,hot,113.3,34.03,00:00.0,00:00.0,no,delivered,5,668.59
250.99,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,00:00.0,00:00.0,no,delivered,4,1287.23
250.99,ecom express,electronics,scooter,express,east,cold,87.7,22.38,00:00.0,00:00.0,yes,failed,2,555.64
250.99,dhl,furniture,van,same day,east,rainy,90.1,27.46,00:00.0,00:00.0,no,delivered,4,632.88
250.99,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,00:00.0,00:00.0,yes,delayed,2,736.82
250.99,fedex,documents,bike,same day,central,cold,217.3,3.03,00:00.0,00:00.0,no,delivered,5,1195.59
250.99,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,00:00.0,00:00.0,no,delivered,3,460.75
250.99,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,00:00.0,00:00.0,no,delivered,5,173.54
250.99,fedex,documents,ev van,express,north,rainy,78.5,27.87,00:00.0,00:00.0,yes,delayed,3,526.11
250.99,blue dart,documents,van,express,north,hot,138.3,47.87,00:00.0,00:00.0,yes,delayed,3,885.11
250.99,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,00:00.0,00:00.0,no,delivered,4,599.99
250.99,fedex,furniture,ev van,standard,west,cold,216.2,23.93,00:00.0,00:00.0,no,delivered,4,1152.79
250.99,ekart,clothing,van,express,south,stormy,24.1,34.1,00:00.0,00:00.0,yes,delayed,3,272.8
250.99,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,00:00.0,00:00.0,no,delivered,4,1070.19
250.99,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,00:00.0,00:00.0,no,delivered,4,604.06
250.99,xpressbees,pharmacy,bike,express,south,hot,56,22.91,00:00.0,00:00.0,yes,delayed,2,398.73
250.99,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,00:00.0,00:00.0,yes,delayed,3,470.66
250.99,dhl,documents,bike,same day,east,rainy,60.4,22.93,00:00.0,00:00.0,no,delivered,5,470.79
250.99,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,00:00.0,00:00.0,yes,failed,2,1458.24
250.99,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,00:00.0,00:00.0,no,delivered,4,551.44
250.99,shadowfax,electronics,van,two day,south,clear,244,13.62,00:00.0,00:00.0,no,delivered,4,1260.86
250.99,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,00:00.0,00:00.0,no,delivered,4,498.31
250.99,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,00:00.0,00:00.0,no,delivered,4,172.6
250.99,ekart,furniture,van,two day,south,cold,3.6,8.75,00:00.0,00:00.0,no,delivered,3,95.6674
250.99,xpressbees,documents,van,standard,east,rainy,111,36.68,00:00.0,00:00.0,no,delivered,4,665.04
250.99,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,00:00.0,00:00.0,yes,delayed,3,1432.59
250.99,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,00:00.0,00:00.0,no,delivered,5,1049.98
250.99,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,00:00.0,00:00.0,no,delivered,4,1045.27
250.99,amazon logistics,furniture,ev bike,standard,central,cold,125,39.41,00:00.0,00:00.0,no,delivered,5,743.23
250.99,dhl,fragile items,bike,two day,north,hot,83.3,34.71,00:00.0,00:00.0,no,delivered,4,520.63
250.99,ecom express,clothing,van,standard,west,foggy,193.2,33.28,00:00.0,00:00.0,no,delivered,4,1065.84
250.99,ekart,clothing,van,two day,east,foggy,174.3,47.29,00:00.0,00:00.0,no,delivered,5,1013.37
250.99,ekart,groceries,bike,same day,west,clear,11.4,40.22,00:00.0,00:00.0,no,delivered,5,277.66
250.99,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,00:00.0,00:00.0,yes,delayed,2,1016.88
250.99,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,00:00.0,00:00.0,no,delivered,5,1062.21
250.99,blue dart,groceries,truck,express,west,stormy,111.2,37.33,00:00.0,00:00.0,yes,delayed,2,717.99
250.99,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,00:00.0,00:00.0,no,delivered,5,729.91
250.99,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,00:00.0,00:00.0,no,delivered,4,1323.84
250.99,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,00:00.0,00:00.0,no,delivered,5,738.52
250.99,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,00:00.0,00:00.0,no,delivered,5,494.92
250.99,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,00:00.0,00:00.0,no,delivered,5,1322.21
250.99,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,00:00.0,00:00.0,no,delivered,4,1632.7206
250.99,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,00:00.0,00:00.0,no,delivered,5,412.45
250.99,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,00:00.0,00:00.0,no,delivered,5,657.46
250.99,fedex,furniture,scooter,same day,north,hot,3.6,31.41,00:00.0,00:00.0,no,delivered,4,203.23
250.99,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,00:00.0,00:00.0,yes,failed,2,898.65
250.99,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,00:00.0,00:00.0,no,delivered,4,560.07
250.99,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,00:00.0,00:00.0,yes,failed,2,1305.19
250.99,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,00:00.0,00:00.0,no,delivered,4,1376.46
250.99,fedex,electronics,scooter,standard,west,clear,35.7,10.8,00:00.0,00:00.0,no,delivered,3,210.9
250.99,fedex,documents,van,express,central,stormy,259.3,27.01,00:00.0,00:00.0,yes,failed,1,1427.53
250.99,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,00:00.0,00:00.0,no,delivered,5,561.77
250.99,delhivery,cosmetics,van,express,south,clear,93.1,20.89,00:00.0,00:00.0,no,delivered,3,578.17
250.99,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,00:00.0,00:00.0,no,delivered,5,1425.33
250.99,ekart,furniture,truck,two day,west,clear,110.2,23.24,00:00.0,00:00.0,no,delivered,4,620.72
250.99,blue dart,documents,bike,standard,west,clear,6,0.88,00:00.0,00:00.0,no,delivered,4,95.6674
250.99,dhl,furniture,truck,two day,east,foggy,16.5,21.49,00:00.0,00:00.0,no,delivered,4,146.97
250.99,xpressbees,documents,ev van,standard,north,cold,102,18.67,00:00.0,00:00.0,no,delivered,4,566.01
250.99,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,00:00.0,00:00.0,yes,delayed,3,1424.88
250.99,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,00:00.0,00:00.0,no,delivered,5,183.79
250.99,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,00:00.0,00:00.0,no,delivered,3,320.87
250.99,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,00:00.0,00:00.0,no,delivered,4,1588.78
250.99,delhivery,clothing,scooter,standard,east,rainy,124,40.2,00:00.0,00:00.0,no,delivered,4,740.6
250.99,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,00:00.0,00:00.0,no,delivered,4,1434.54
250.99,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,00:00.0,00:00.0,no,delivered,5,618.71
250.99,shadowfax,groceries,ev bike,express,east,hot,156,14.49,00:00.0,00:00.0,no,delivered,3,873.47
250.99,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,00:00.0,00:00.0,no,delivered,4,1463.55
250.99,fedex,clothing,truck,same day,north,cold,287,8.21,00:00.0,00:00.0,yes,failed,1,1559.63
250.99,delhivery,electronics,van,two day,north,foggy,50.5,31.28,00:00.0,00:00.0,no,delivered,4,346.34
250.99,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,00:00.0,00:00.0,no,delivered,4,1039
250.99,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,00:00.0,00:00.0,no,delivered,3,799.09
250.99,ekart,groceries,scooter,two day,east,cold,45.8,27.22,00:00.0,00:00.0,no,delivered,5,310.66
250.99,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,00:00.0,00:00.0,no,delivered,5,245.29
250.99,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,00:00.0,00:00.0,no,delivered,4,909.11
250.99,dhl,automobile parts,ev van,same day,south,rainy,29,40.89,00:00.0,00:00.0,no,delivered,4,367.67
250.99,dhl,furniture,scooter,standard,north,clear,281.6,19.81,00:00.0,00:00.0,no,delivered,3,1467.43
250.99,ecom express,electronics,van,same day,east,stormy,75.7,41.47,00:00.0,00:00.0,yes,delayed,2,602.91
250.99,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,00:00.0,00:00.0,no,delivered,4,705.04
250.99,ekart,cosmetics,truck,standard,west,rainy,218.2,34,00:00.0,00:00.0,no,delivered,5,1193
250.99,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,00:00.0,00:00.0,yes,delayed,2,845.38
250.99,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,00:00.0,00:00.0,no,delivered,3,734.85
250.99,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,00:00.0,00:00.0,no,delivered,5,1038.84
250.99,delhivery,electronics,truck,two day,north,rainy,60.1,40.63,00:00.0,00:00.0,no,delivered,3,422.39
250.99,ekart,documents,truck,same day,south,foggy,147.7,46.57,00:00.0,00:00.0,no,delivered,4,978.21
250.99,amazon logistics,cosmetics,truck,two day,north,cold,289,48.99,00:00.0,00:00.0,no,delivered,4,1591.97
250.99,delhivery,pharmacy,van,express,north,cold,235.6,42.35,00:00.0,00:00.0,yes,delayed,3,1355.05
250.99,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,00:00.0,00:00.0,no,delivered,4,634.78
250.99,ekart,groceries,truck,two day,central,cold,273.9,42.56,00:00.0,00:00.0,no,delivered,3,1497.18
250.99,ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,00:00.0,00:00.0,no,delivered,4,1401.08
250.99,ekart,groceries,van,two day,east,clear,82.2,18.81,00:00.0,00:00.0,no,delivered,3,467.43
250.99,dhl,clothing,truck,same day,south,cold,280.3,15.29,00:00.0,00:00.0,no,delivered,4,1547.37
250.99,shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,00:00.0,00:00.0,yes,delayed,2,938.86
250.99,blue dart,groceries,van,same day,west,clear,279.9,21.63,00:00.0,00:00.0,yes,failed,2,1564.39
250.99,shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,00:00.0,00:00.0,yes,delayed,2,1056.6
250.99,fedex,electronics,van,two day,central,cold,29.9,47.31,00:00.0,00:00.0,no,delivered,3,291.43
250.99,amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,00:00.0,00:00.0,no,delivered,4,346.65
250.99,ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,00:00.0,00:00.0,no,delivered,4,819.43
250.99,shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,00:00.0,00:00.0,no,delivered,4,174.48
250.99,dhl,documents,ev bike,two day,east,hot,230.8,30.01,00:00.0,00:00.0,no,delivered,4,1244.03
250.99,dhl,clothing,bike,express,west,clear,93,9.37,00:00.0,00:00.0,no,delivered,4,543.11
250.99,dhl,electronics,van,two day,west,clear,10.4,4.59,00:00.0,00:00.0,no,delivered,4,95.6674
250.99,amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,00:00.0,00:00.0,no,delivered,4,981.76
250.99,ekart,documents,scooter,express,west,rainy,182.1,2.26,00:00.0,00:00.0,yes,delayed,2,967.28
250.99,blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,00:00.0,00:00.0,no,delivered,4,316.67
250.99,dhl,groceries,bike,two day,north,cold,55.2,6.78,00:00.0,00:00.0,no,delivered,3,296.34
250.99,delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,00:00.0,00:00.0,yes,failed,1,1299.58
250.99,delhivery,electronics,truck,express,west,hot,46.2,14.83,00:00.0,00:00.0,no,delivered,5,325.49
250.99,delhivery,documents,ev bike,two day,south,hot,3.6,49.52,00:00.0,00:00.0,no,delivered,5,163.39
250.99,xpressbees,groceries,scooter,express,north,hot,297.1,22,00:00.0,00:00.0,no,delivered,5,1615.5
250.99,xpressbees,electronics,bike,express,central,hot,87.8,7.72,00:00.0,00:00.0,no,delivered,5,512.16
250.99,xpressbees,groceries,truck,express,central,hot,267.4,11.53,00:00.0,00:00.0,yes,delayed,2,1421.59
250.99,fedex,furniture,ev van,two day,east,stormy,124.8,10.84,00:00.0,00:00.0,no,delivered,4,656.52
250.99,xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,00:00.0,00:00.0,no,delivered,4,1519.4
250.99,blue dart,furniture,scooter,two day,central,hot,129.5,39.84,00:00.0,00:00.0,no,delivered,4,767.02
250.99,ecom express,fragile items,van,same day,south,foggy,225,7.32,00:00.0,00:00.0,yes,delayed,3,1246.96
250.99,fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,00:00.0,00:00.0,no,delivered,5,1521.58
250.99,ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,00:00.0,00:00.0,no,delivered,4,550.21
250.99,blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,00:00.0,00:00.0,no,delivered,3,240.22
250.99,fedex,automobile parts,van,standard,west,hot,135.1,37.59,00:00.0,00:00.0,no,delivered,5,788.27
250.99,xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,00:00.0,00:00.0,no,delivered,4,1159.92
250.99,fedex,documents,truck,express,north,rainy,169.6,41.44,00:00.0,00:00.0,yes,delayed,3,1022.32
250.99,fedex,fragile items,van,express,central,foggy,250.7,29.97,00:00.0,00:00.0,yes,failed,2,1393.41
250.99,blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,00:00.0,00:00.0,no,delivered,4,404.76
250.99,dhl,groceries,scooter,two day,east,stormy,21.3,41.19,00:00.0,00:00.0,no,delivered,3,230.07
250.99,ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,00:00.0,00:00.0,no,delivered,4,434.23
250.99,ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,00:00.0,00:00.0,no,delivered,3,349.97
250.99,xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,00:00.0,00:00.0,no,delivered,5,624.11
250.99,shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,00:00.0,00:00.0,no,delivered,4,619.11
250.99,shadowfax,fragile items,ev bike,same day,north,foggy,71,32.56,00:00.0,00:00.0,no,delivered,3,552.68
250.99,dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,00:00.0,00:00.0,no,delivered,4,314.08
250.99,ecom express,fragile items,scooter,two day,north,cold,157,43.03,00:00.0,00:00.0,no,delivered,4,914.09
250.99,delhivery,groceries,van,same day,east,cold,213.7,49.52,00:00.0,00:00.0,no,delivered,5,1317.81
250.99,dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,00:00.0,00:00.0,yes,delayed,2,1451.52
250.99,blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,00:00.0,00:00.0,yes,delayed,2,539.56
250.99,dhl,fragile items,truck,express,central,foggy,198.5,20.1,00:00.0,00:00.0,no,delivered,5,1102.8
250.99,ecom express,groceries,ev bike,express,west,hot,158.7,35.06,00:00.0,00:00.0,yes,failed,2,948.68
250.99,dhl,documents,truck,same day,north,clear,265.3,31.8,00:00.0,00:00.0,no,delivered,5,1521.9
250.99,ecom express,cosmetics,truck,express,east,stormy,208.8,22.83,00:00.0,00:00.0,yes,delayed,2,1162.49
250.99,fedex,automobile parts,scooter,express,east,rainy,55.7,46.5,00:00.0,00:00.0,yes,failed,1,468
250.99,xpressbees,automobile parts,van,standard,east,foggy,80.6,45.16,00:00.0,00:00.0,no,delivered,3,538.48
250.99,fedex,clothing,bike,same day,east,stormy,187.7,6.69,00:00.0,00:00.0,yes,delayed,3,1058.57
250.99,ekart,automobile parts,bike,standard,south,foggy,225.6,22.83,00:00.0,00:00.0,no,delivered,5,1196.49
250.99,xpressbees,fragile items,truck,express,east,rainy,24.5,0.67,00:00.0,00:00.0,yes,delayed,2,174.12
250.99,ecom express,clothing,scooter,standard,west,rainy,194.3,29.51,00:00.0,00:00.0,no,delivered,4,1060.03
250.99,ekart,electronics,van,express,central,foggy,52,43.18,00:00.0,00:00.0,yes,delayed,3,439.54
250.99,amazon logistics,clothing,van,same day,north,clear,282.9,31.33,00:00.0,00:00.0,yes,delayed,2,1608.49
250.99,ekart,automobile parts,van,same day,north,cold,289.2,16.14,00:00.0,00:00.0,yes,failed,1,1594.42
250.99,xpressbees,cosmetics,ev bike,standard,east,cold,257.9,45.92,00:00.0,00:00.0,no,delivered,3,1427.26
250.99,amazon logistics,pharmacy,van,same day,east,hot,258.3,42.79,00:00.0,00:00.0,yes,delayed,2,1519.87
250.99,fedex,pharmacy,ev van,express,central,rainy,288.4,44.12,00:00.0,00:00.0,yes,delayed,2,1624.36
250.99,xpressbees,groceries,van,express,east,hot,86.5,37.04,00:00.0,00:00.0,no,delivered,4,593.62
250.99,ekart,automobile parts,ev van,same day,south,stormy,157.3,4.51,00:00.0,00:00.0,yes,delayed,2,900.03
250.99,delhivery,clothing,ev van,standard,central,rainy,41,29.25,00:00.0,00:00.0,no,delivered,5,292.75
250.99,delhivery,documents,van,standard,central,foggy,137.4,27.87,00:00.0,00:00.0,no,delivered,3,770.61
250.99,fedex,clothing,ev bike,standard,north,clear,32.3,46.58,00:00.0,00:00.0,no,delivered,4,301.24
250.99,ecom express,fragile items,van,express,central,clear,207.8,40.12,00:00.0,00:00.0,yes,delayed,2,1209.36
250.99,blue dart,furniture,ev van,standard,south,foggy,23.6,12.4,00:00.0,00:00.0,no,delivered,4,155.2
250.99,fedex,cosmetics,ev bike,standard,south,clear,258,37.92,00:00.0,00:00.0,no,delivered,4,1403.76
250.99,xpressbees,automobile parts,van,same day,north,cold,255.6,18.93,00:00.0,00:00.0,no,delivered,5,1434.79
250.99,blue dart,clothing,scooter,standard,north,cold,289.7,19.13,00:00.0,00:00.0,no,delivered,5,1505.89
250.99,xpressbees,automobile parts,ev van,express,north,rainy,9.1,45.65,00:00.0,00:00.0,yes,delayed,3,232.45
250.99,ekart,clothing,truck,standard,west,foggy,245.8,4.19,00:00.0,00:00.0,no,delivered,5,1241.57
250.99,amazon logistics,cosmetics,ev bike,two day,central,hot,88.6,8.67,00:00.0,00:00.0,no,delivered,3,469.01
250.99,shadowfax,cosmetics,ev bike,standard,central,rainy,59.6,20.84,00:00.0,00:00.0,no,delivered,4,360.52
250.99,fedex,fragile items,bike,express,east,hot,225.4,22.3,00:00.0,00:00.0,no,delivered,5,1243.9
250.99,blue dart,clothing,scooter,express,south,clear,36.9,45.45,00:00.0,00:00.0,yes,delayed,3,370.85
250.99,fedex,automobile parts,ev van,same day,central,stormy,262.9,31.73,00:00.0,00:00.0,yes,delayed,2,1509.69
250.99,amazon logistics,fragile items,scooter,standard,central,clear,262.7,28.7,00:00.0,00:00.0,no,delivered,5,1399.6
250.99,delhivery,electronics,ev van,two day,east,hot,167.2,35.91,00:00.0,00:00.0,no,delivered,3,943.73
250.99,xpressbees,pharmacy,van,express,south,hot,127.4,3.49,00:00.0,00:00.0,no,delivered,3,697.47
250.99,fedex,fragile items,ev van,standard,central,foggy,267,26.49,00:00.0,00:00.0,no,delivered,3,1414.47
250.99,xpressbees,furniture,truck,same day,south,cold,214,34.34,00:00.0,00:00.0,no,delivered,4,1273.02
250.99,shadowfax,groceries,bike,same day,east,stormy,10.6,42.68,00:00.0,00:00.0,no,delivered,5,281.04
250.99,dhl,documents,scooter,same day,central,rainy,124.2,1.02,00:00.0,00:00.0,no,delivered,5,724.06
